-0.79	0.51	0.41	0.49	0.34	0.71	0.58	0.91	-0.47	-0.38	0.73	0.39	
-0.76	0.52	0.39	0.49	0.34	0.72	0.62	0.91	-0.46	-0.38	0.74	0.39	
-0.78	0.51	0.40	0.51	0.32	0.70	0.62	0.91	-0.45	-0.37	0.72	0.38	
-0.79	0.51	0.40	0.53	0.33	0.70	0.55	0.91	-0.47	-0.38	0.73	0.39	
-0.79	0.51	0.40	0.53	0.33	0.71	0.54	0.91	-0.46	-0.39	0.72	0.39	
-0.77	0.50	0.39	0.53	0.33	0.71	0.58	0.92	-0.44	-0.38	0.73	0.38	
-0.77	0.50	0.41	0.55	0.32	0.70	0.62	0.91	-0.45	-0.37	0.72	0.40	
-0.78	0.51	0.41	0.53	0.33	0.71	0.59	0.91	-0.46	-0.38	0.73	0.39	
-0.76	0.51	0.39	0.52	0.33	0.68	0.53	0.90	-0.46	-0.39	0.72	0.38	
-0.77	0.51	0.39	0.48	0.36	0.69	0.54	0.90	-0.44	-0.38	0.73	0.38	
-0.76	0.50	0.40	0.51	0.34	0.69	0.61	0.92	-0.44	-0.38	0.73	0.39	
-0.76	0.52	0.40	0.52	0.33	0.70	0.62	0.91	-0.46	-0.38	0.72	0.38	
-0.78	0.52	0.38	0.53	0.34	0.71	0.57	0.92	-0.44	-0.37	0.73	0.38	
-0.78	0.50	0.39	0.51	0.33	0.68	0.52	0.91	-0.46	-0.38	0.74	0.40	
-0.76	0.50	0.40	0.53	0.32	0.71	0.57	0.91	-0.46	-0.37	0.73	0.38	
-0.76	0.50	0.38	0.51	0.33	0.70	0.62	0.90	-0.45	-0.37	0.73	0.39	
-0.75	0.52	0.40	0.53	0.32	0.70	0.62	0.91	-0.45	-0.39	0.72	0.38	
-0.76	0.51	0.41	0.54	0.31	0.69	0.55	0.91	-0.45	-0.38	0.71	0.39	
-0.78	0.52	0.39	0.56	0.31	0.69	0.53	0.91	-0.46	-0.40	0.73	0.38	
-0.75	0.51	0.41	0.54	0.33	0.71	0.60	0.92	-0.45	-0.38	0.74	0.38	
-0.77	0.52	0.40	0.52	0.31	0.69	0.63	0.91	-0.45	-0.39	0.73	0.38	
-0.78	0.51	0.40	0.54	0.33	0.70	0.59	0.89	-0.45	-0.38	0.73	0.38	
-0.76	0.51	0.41	0.53	0.33	0.71	0.54	0.90	-0.45	-0.38	0.73	0.38	
-0.77	0.50	0.40	0.51	0.34	0.70	0.56	0.91	-0.45	-0.37	0.72	0.39	
