-0.67	0.84	-0.19	0.76	0.38	0.44	0.30	0.95	-0.40	-0.17	0.86	0.24	
-0.66	0.84	-0.18	0.79	0.36	0.42	0.23	0.96	-0.38	-0.16	0.88	0.25	
-0.65	0.83	-0.20	0.86	0.34	0.43	0.36	0.96	-0.40	-0.17	0.87	0.24	
-0.65	0.83	-0.20	0.80	0.35	0.46	0.47	0.96	-0.39	-0.16	0.87	0.25	
-0.64	0.84	-0.19	0.77	0.37	0.44	0.39	0.94	-0.39	-0.18	0.86	0.24	
-0.65	0.83	-0.19	0.80	0.37	0.43	0.25	0.94	-0.40	-0.15	0.84	0.24	
-0.64	0.83	-0.20	0.79	0.36	0.44	0.27	0.95	-0.40	-0.17	0.86	0.24	
-0.66	0.84	-0.21	0.80	0.37	0.43	0.41	0.97	-0.39	-0.17	0.87	0.25	
-0.65	0.84	-0.19	0.80	0.37	0.44	0.47	0.95	-0.41	-0.18	0.85	0.25	
-0.67	0.84	-0.18	0.79	0.36	0.43	0.35	0.96	-0.39	-0.17	0.86	0.25	
-0.66	0.82	-0.19	0.79	0.36	0.44	0.23	0.94	-0.39	-0.17	0.87	0.25	
-0.66	0.83	-0.19	0.80	0.37	0.45	0.31	0.94	-0.39	-0.17	0.86	0.24	
-0.65	0.83	-0.19	0.79	0.35	0.44	0.45	0.96	-0.40	-0.17	0.88	0.25	
-0.64	0.84	-0.19	0.81	0.35	0.43	0.43	0.96	-0.38	-0.17	0.88	0.25	
-0.65	0.83	-0.19	0.77	0.37	0.43	0.29	0.96	-0.41	-0.17	0.86	0.23	
-0.66	0.82	-0.19	0.79	0.36	0.44	0.24	0.94	-0.40	-0.17	0.87	0.25	
-0.65	0.84	-0.18	0.79	0.36	0.45	0.37	0.96	-0.39	-0.16	0.87	0.24	
-0.66	0.83	-0.18	0.82	0.36	0.43	0.48	0.95	-0.39	-0.15	0.87	0.26	
-0.65	0.83	-0.20	0.79	0.38	0.44	0.40	0.95	-0.39	-0.16	0.88	0.24	
-0.65	0.81	-0.20	0.77	0.40	0.45	0.26	0.95	-0.40	-0.16	0.86	0.23	
-0.65	0.81	-0.19	0.76	0.37	0.45	0.28	0.96	-0.41	-0.16	0.86	0.24	
-0.64	0.83	-0.18	0.79	0.38	0.44	0.42	0.95	-0.38	-0.16	0.87	0.24	
-0.64	0.83	-0.21	0.79	0.38	0.46	0.48	0.94	-0.38	-0.18	0.87	0.25	
-0.66	0.82	-0.19	0.77	0.37	0.42	0.34	0.94	-0.40	-0.16	0.87	0.25	
-0.65	0.82	-0.20	0.79	0.36	0.43	0.22	0.95	-0.39	-0.17	0.86	0.24	
-0.65	0.83	-0.20	0.80	0.35	0.44	0.32	0.95	-0.38	-0.16	0.88	0.24	
-0.65	0.83	-0.21	0.77	0.38	0.43	0.46	0.95	-0.41	-0.18	0.86	0.24	
-0.64	0.83	-0.19	0.78	0.37	0.45	0.44	0.95	-0.38	-0.16	0.87	0.24	
-0.67	0.84	-0.20	0.79	0.36	0.44	0.30	0.95	-0.40	-0.17	0.87	0.25	
-0.66	0.82	-0.20	0.78	0.37	0.44	0.24	0.94	-0.42	-0.17	0.86	0.23	
-0.66	0.83	-0.19	0.76	0.36	0.46	0.37	0.94	-0.39	-0.16	0.87	0.23	
-0.65	0.82	-0.19	0.80	0.38	0.44	0.48	0.95	-0.38	-0.16	0.87	0.27	
-0.66	0.84	-0.20	0.79	0.37	0.46	0.40	0.96	-0.39	-0.16	0.86	0.24	
-0.66	0.81	-0.19	0.77	0.37	0.44	0.26	0.93	-0.39	-0.16	0.87	0.24	
-0.66	0.81	-0.19	0.79	0.36	0.45	0.28	0.95	-0.39	-0.17	0.86	0.23	
-0.65	0.84	-0.19	0.79	0.37	0.45	0.43	0.96	-0.38	-0.17	0.86	0.25	
